file_name,first_transcribed_v2_item,last_transcribed_v2_item
038.068_EITv-1A,8,41
038.069_EITv-2A,8,37
038.070_EITv-1A,7,36
038.071_EITv2A,7,36
038.072_EITv1A,7,37
038.073_EITv2A,8,37
038.074_EITv-1A,7,37
038.075_EITv-2A,9,38
038.076_EITv-1A,7,37
038.077_EITv-2A,7,36
038.078_EITv-1A,8,37
038.079_EITv-2A,9,38
038.080_EITv-1A,7,36
038.081_EITv-2A,7,36
038.082_EIT1_vA,9,57
038.083_EITv-2A,7,37
038.084_EIT1_vA,5,45
038.085_EIT2_vA,9,58
038.086_EIT1_vA,5,41
038.087_EIT2_vA,9,58
038.088_EIT1_vA,9,40
038.089_EITv-2A,7,36
038.090_EIT1_vA,10,49
038.091_EITv-2A,7,36
038.092_EITv-1A,7,39
038.093_EIT2_vA,10,60
038.094_EITv-1A,8,37
038.095_EIT2_vA,9,58
038.096_EIT1_vA,5,46
038.097_EIT2_vA,9,51
038.098_EIT1_vA,9,51
038.099_EIT2_vA,9,57
038.100_EIT-v1A,6,35
038.101_EIT-v2A,7,36
038.102_EIT1_vA,8,47
038.103_EIT2_vA,8,57
038.104_EITv-1A,7,35
038.105_EIT2_vA,5,35
038.106_EITv-1A,10,41
038.107_EIT2_vA,5,46
038001_EIT-1A,7,36
038002_EIT-2A,6,35
038004_EIT-2A,6,35
038006_EIT-2A,6,37
038010_EIT-2A,6,34
038011_EIT-1A,6,38
038012_EIT-2A,6,34
038014_EIT-2A,7,36
038015_EIT-1A,6,35
038016_EIT-2A,6,35
038017_EIT-1A,6,36
038019_EIT-1A,8,36
038020_EIT-2A,7,38
038021_EIT-1A,7,31
038022_EIT-2A,7,36
038023_EIT-1A,7,36
038024_EIT-2A,6,34
038025_EIT-1A,7,36
038026_EIT-2A,7,36
038027_EIT-1A,7,38
038028_EITv-2A,5,54
038029_EIT-1A,7,39
038029_EITv_1A,7,39
038030_EIT-2A,7,36
038031_EIT-1A,8,37
038032_EITv-2A.mp3,7,36
038034_EITv-2A,7,37
038035_EITv-1A,7,36
038036_EIT-2A,6,36
038037_EITv-1A,8,37
038038_EITv-2A,8,38
038039_EITv-1A.mp3,7,36
038040_EITv-2A,7,36
038041_EITv-1A,7,37
038042_EITv-2A,12,41
038043_EITv-1A,7,36
038044_EITv-2A,7,35
038045_EITv-1A,7,36
038046_EITv-2A,7,37
038047_EITv-1A.mp3,7,36
038050_EITv-1A,7,36
038051_EITv-2A,8,38
038052_EITv-1A,7,37
038053_EITv-2A,8,38
038054_EITv-1A,8,37
038055_EITv-2A,7,36
038056_EITv-1A,7,36
038057_EITv-2A,7,36
038058_EITv-1A,7,37
038059_EITv-2A,7,36
038060_EITv-1A,7,35
038061_EITv-2A,7,36
038064_EITv-1A,7,37
038065_EITv-2A,7,39
038067_EITv2-2A,7,36
038.068_EITv-1B,8,39
038.069_EITv-1B,8,37
038.070_EITv-2B,8,37
038.071_EITv1B,7,36
038.072_EITv2B,7,37
038.074_EITv-2B,8,38
038.075_EITv-1B,7,36
038.076_EITv-2B,8,39
038.077_EITv-1B,7,38
038.078_EITv-2B,7,37
038.079_EITv-1B,6,35
038.080_EITv-2B,7,36
038.081_EITv-1B,8,37
038.082_EIT2_vB,12,62
038.083_EITv-1B,7,38
038.084_EIT2_vB,12,69
038.085_EIT1_vB,11,61
038.086_EIT2_vB,13,57
038.087_EIT1_vB,9,64
038.087_EIT1_vB (1),9,64
038.088_EIT2_vB,11,59
038.090_EIT2_vB,13,65
038.091_EITv-1B,7,36
038.092_EITv-2B,7,36
038.093_EIT1_vB,11,64
038.094_EITv-2B,8,39
038.095_EIT1_vB,12,60
038.096_EIT2_vB,12,63
038.097_EIT1_vB,12,64
038.098_EIT2_vB,11,64
038.099_EIT1_vB,12,69
038.101_EIT-v1B,8,38
038.102_EIT2_vB,10,62
038.103_EIT1_vB,12,63
038.104_EITv-2B,7,36
038.105_EIT1_vB,11,62
038.107_EIT1_vB,13,66
038001_EIT-2B,8,37
038002_EIT-1B,6,34
038004_EIT-1B,7,38
038006_EIT-1B,6,36
038008_EIT-1B,6,35
038009_EIT-2B,6,33
038010_EIT-1B,6,34
038011_EIT-2B,7,37
038012_EIT-1B,6,34
038014_EIT-1B,8,38
038015_EIT-2B,6,35
038016_EIT-1B,6,35
038017_EIT-2B,6,36
038018_EIT-1B,6,37
038020_EIT-1B,8,36
038021_EIT-2B,7,35
038022_EIT-1B,7,36
038023_EIT-2B,7,34
038024_EIT-1B,6,35
038025_EIT-2B,7,36
038026_EIT-1B,7,36
038027_EIT-2B,7,36
038028_EITv-1B,12,66
038029_EIT-2B,8,39
038029_EIT-2B(1),8,39
038030_EIT-1B,7,36
038032_EITv-1B.mp3,7,36
038034_EITv-1B,7,36
038035_EITv-2B,7,36
038036_EIT-1B,6,34
038037_EITv2-B,8,36
038038_EITv-1B,10,39
038040_EITv-1B,7,36
038041_EITv-2B,7,36
038042_EITv-1B,7,36
038043_EITv-2B,7,36
038044_EITv-1B,8,37
038045_EITv-2B,7,35
038046_EITv-1B,9,38
038047_EITv-2B.mp3,7,35
038050_EITv-2B,7,36
038051_EITv-1B,7,36
038052_EITv-2B,7,35
038053_EITv-1B,8,37
038054_EITv-2B,8,37
038055_EITv-1B,8,38
038056_EITv-2B,7,36
038057_EITv-1B,7,34
038058_EITv-2B,7,36
038059_EITv-1B,7,36
038060_EITv-2B,7,36
038061_EITv-1B,7,36
038064_EITv-2B,7,36
038066_EITv-2B,7,37
038067_EITv1B,7,34
