rank,model,checkpoint,mean_wer,mean_mer,mean_cer,median_wer,pct_word_perfect,decoder_family,training_language_breadth,eval_scope
,Human floor,rater1 vs. rater2,0.161,0.150,0.076,0.111,42.9%,n/a (human),n/a,hit-only (102)
1,speechmatics,Enhanced (batch),0.223,0.207,0.131,0.143,36.4%,End-to-end (proprietary),Multilingual (breadth undocumented),hit-only (102)
2,assemblyai_v3,Universal-3.5 Pro + prompting,0.236,0.212,0.130,0.125,37.0%,End-to-end (proprietary),6 core languages (incl. Spanish),hit-only (102)
3,canary,nvidia/canary-1b,0.248,0.213,0.134,0.143,36.8%,Attention (AED),4 languages,full (184)
4,whisper,faster-whisper large-v3,0.248,0.217,0.140,0.143,34.9%,Attention (AED),~99 languages (weakly-aligned web data),full (184)
5,fastconformer,stt_es_fastconformer_hybrid_large_pc,0.251,0.233,0.132,0.167,29.7%,CTC,1 language (Spanish-only),full (184)
6,parakeet,parakeet-tdt-0.6b-v3,0.281,0.260,0.156,0.143,32.9%,RNNT/Transducer (TDT),multilingual (curated),full (184)
7,assemblyai,Universal-2 (unprompted),0.290,0.279,0.187,0.143,35.0%,End-to-end (proprietary),Multilingual (breadth undocumented),hit-only (102)
8,canary_v2,nvidia/canary-1b-v2,0.301,0.259,0.181,0.167,32.7%,Attention (AED),25 languages,full (184)
9,wav2vec2,wav2vec2-xlsr-53-spanish,0.323,0.300,0.149,0.250,20.7%,CTC,"53 languages (pretrain), Spanish fine-tune",full (184)
10,seamlessm4t,seamless-m4t-v2-large,0.377,0.319,0.219,0.222,27.0%,Attention (S2TT),~100 languages,hit-only (102)
11,mms,facebook/mms-1b-all,0.399,0.382,0.189,0.286,20.5%,CTC,"~1,100 languages (adapters)",hit-only (102)
12,crisperwhisper,faster_CrisperWhisper,0.690,0.638,0.376,0.750,2.0%,"Attention (AED), verbatim fine-tune",~99 languages (Whisper base),hit-only (102)
