model,accuracy,weighted_f1,quadratic_kappa,mae
Engineered + Ordinal LinearSVM (Full 6),0.6963730569948187,0.6958185192247897,0.8976189798184844,0.3139896373056995
Threshold ensemble (ordinal decomposition),0.6958549222797927,0.6947633590629722,0.8975367486070237,0.3145077720207254
Hybrid: BETO Cosine Sim + Engineered Ordinal SVM,0.6922279792746114,0.6913049511184908,0.896677726191289,0.3176165803108808
Hybrid: Appended BETO PCA + Engineered Ordinal SVM (Leak-Free),0.6813471502590673,0.6811546323946831,0.894832866675262,0.32746113989637304
Engineered + BERTScore (F1),0.6860103626943005,0.6839712840197876,0.8946867373789489,0.3243523316062176
Engineered + LogisticRegression,0.68860103626943,0.6854107603895793,0.8933562912301903,0.3243523316062176
Engineered + Ordinal LinearSVM (Selected 4),0.689119170984456,0.6886288847076785,0.8928321290881118,0.3227979274611399
BETO mean pooling + LogisticAT,0.6015544041450778,0.6016574727773909,0.8553738694529284,0.4191709844559586
BETO + LogisticRegression,0.6,0.5982325526073973,0.8377737053461447,0.44352331606217615
BETO Cross-Encoder [CLS] + LogisticAT,0.5590673575129533,0.5611786685172155,0.826481683308414,0.4761658031088083
TF-IDF + LinearSVC,0.5134715025906735,0.5110459255955618,0.7491845879285408,0.5943005181347151
